name,price,link_picture,Produkttyp,Vorgeschlagenes Geschlecht,Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (max.),Anzahl Teile,Sound-Effekte,Produktfarbe,Material,Ursprungsland,EU TSD Warnung,EU TSD Sprache,Sicherheitswarnung,Batterien erforderlich,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Paketgewicht,Verpackungsart,Menge pro Packung,Anzahl der Versandkartons pro Vorlagenkarton,Montage erforderlich,Anzahl der Pakete,ASIN,Montagezeit,Freigabedatum (TT/MM/JJ),Figur enthalten,Nachhaltigkeitszertifikate,Menge pro Versandkarton,Länge des Versandkartons,Breite des Versandkartons,Höhe des Versandkartons,Gewicht Versandkarton,Nettogewicht Hauptkarton,Versandkarton pro Palettenlage,Anzahl Produkte pro Versandkarton,Hauptkarton GTIN (EAN/UPC),Lagenanzahl pro Palette,Produkte pro Palettenlage,Fernbedienung erforderlich,Warnung vor Erstickungsgefahr,Fernbedienung enthalten,Akkus/Batterien enthalten,null
LEGO Harry Potter Schloss Hogwarts™ mit Schlossgelände (76419),179,https://www.fcw.ch/api/ProcessRequest/191538/BN/268x166-lego-harry-potter-schloss-hogwarts-mit-schlossgelaende-76419.jpg?sourceId=886652&source=Product, Bausatz , Junge/Mädchen , 18 Jahr(e) , 99 Jahr(e) , 2660 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 480 mm , 112 mm ," 3,04 kg ", Box , 1 Stück(e) , 1 Stück(e) , , 1 , B0BV7BYNYD , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Disney - Kamera – Hommage an Walt Disney (43230),119,https://www.fcw.ch/api/ProcessRequest/191541/BN/268x166-lego-disney-kamera-hommage-an-walt-disney-43230.jpg?sourceId=886591&source=Product, Bausatz , Junge/Mädchen , 18 Jahr(e) , 99 Jahr(e) , 811 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 354 mm ," 70,5 mm "," 1,13 kg ", Box , 1 Stück(e) , 4 Stück(e) , , 1 , B0BV7BMPVS , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Technic - Audi RS Q e-tron (42160),159,https://www.fcw.ch/api/ProcessRequest/190646/BN/268x166-lego-technic-audi-rs-q-e-tron-42160.jpg?sourceId=886681&source=Product, Bausatz , Junge/Mädchen , 10 Jahr(e) , 99 Jahr(e) , 914 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm , 118 mm ," 1,86 kg ", Box , 1 Stück(e) , 2 Stück(e) , , 1 , B0BV7DM8FT , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Technic - Lamborghini Huracán Tecnica (42161),59.95,https://www.fcw.ch/api/ProcessRequest/190611/BN/268x166-lego-technic-lamborghini-huracan-tecnica-42161.jpg?sourceId=886682&source=Product, Bausatz , Junge/Mädchen , 9 Jahr(e) , 99 Jahr(e) , 806 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm ," 70,5 mm "," 1,03 kg ", Box , 1 Stück(e) , 3 Stück(e) , , 1 , B0BV7CKX2Q , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO City - Personen-Schnellzug (60337),169,https://www.fcw.ch/api/ProcessRequest/138905/BN/268x166-lego-city-personen-schnellzug-60337.jpg?sourceId=874186&source=Product, Bausatz , Junge/Mädchen , 7 Jahr(e) , 99 Jahr(e) , 764 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,, 378 mm , 582 mm , 103 mm ," 2,25 kg ", Box ,,, ,, B09QFJSNJW ,,,,,,,,,,,,,,,,,,,,
LEGO Duplo - Deluxe Steinebox (10914) ,54.95,https://www.fcw.ch/api/ProcessRequest/186550/BN/268x166-lego-duplo-deluxe-steinebox-10914.jpg?sourceId=851036&source=Product, Bausatz , Junge/Mädchen ," 1,5 Jahr(e) ", 99 Jahr(e) , 85 Stück(e) , , Mehrfarbig ,,,,,,, 262 mm , 370 mm , 180 mm ," 1,43 kg ", Box ,,,,,,, 01/01/2020 , , Forest Stewardship Council (FSC) Mix , 2 Stück(e) , 379 mm , 372 mm , 280 mm ," 3,44 kg "," 2,86 kg ", 6 Stück(e) , 2 Stück(e) , 5702016704358 , 4 Stück(e) , 12 Stück(e) ,,,,,
LEGO Star Wars - AT-TE Walker (75337),159,https://www.fcw.ch/api/ProcessRequest/149917/BN/268x166-lego-star-wars-at-te-walker-75337.jpg?sourceId=874251&source=Product, Bausatz , Junge/Mädchen , 9 Jahr(e) , 99 Jahr(e) , 1082 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 480 mm ," 70,5 mm "," 1,52 kg ", Box ,,, ,, B09QFXTYDC ,,,,,,,,,,,,,,,,,,,,
LEGO Star Wars - Yodas Jedi Starfighter™ (75360),46.95,https://www.fcw.ch/api/ProcessRequest/190515/BN/268x166-lego-star-wars-yodas-jedi-starfighter-75360.jpg?sourceId=886660&source=Product, Bausatz , Junge/Mädchen , 8 Jahr(e) , 99 Jahr(e) , 253 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 191 mm , 262 mm , 46 mm , 318 g , Box , 1 Stück(e) , 8 Stück(e) , , 1 , B0BV7B69QT , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Ninjago - Zanes Drachenpower-Spinjitzu-Rennwagen (71791),39.95,https://www.fcw.ch/api/ProcessRequest/188433/BN/268x166-lego-ninjago-zanes-drachenpower-spinjitzu-rennwagen-71791.jpg?sourceId=886633&source=Product, Bausatz , Junge/Mädchen , 7 Jahr(e) , 99 Jahr(e) , 307 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 222 mm , 262 mm , 76 mm , 515 g , Box , 1 Stück(e) , 5 Stück(e) , , 1 , B0BPCF2J79 , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Technic - McLaren Senna GTR (42123),59.95,https://www.fcw.ch/api/ProcessRequest/136040/BN/268x166-lego-technic-mclaren-senna-gtr-42123.jpg?sourceId=861131&source=Product, Bausatz , Junge/Mädchen , 10 Jahr(e) , 99 Jahr(e) , 830 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm ," 70,5 mm ", 980 g , Box ,,, ,, B08G4293BD ,,, , Forest Stewardship Council (FSC) Mix , 3 Stück(e) , 398 mm , 229 mm , 280 mm ," 3,27 kg "," 2,94 kg ", 10 Stück(e) , 3 Stück(e) , 5702016961409 , 4 Stück(e) , 30 Stück(e) , , Kleinteile , , ,
LEGO Icons - Porsche 911 (10295),179,https://www.fcw.ch/api/ProcessRequest/106277/BN/268x166-lego-icons-porsche-911-10295.jpg?sourceId=865592&source=Product, Bausatz , Junge/Mädchen , 18 Jahr(e) , 99 Jahr(e) , 1458 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 282 mm , 480 mm , 118 mm ," 1,99 kg ", Box ,,, ,, B08XQYXPLC ,, 01/06/2021 , , Forest Stewardship Council (FSC) Mix ,, 299 mm , 252 mm , 499 mm ," 4,22 kg "," 3,79 kg ", 12 Stück(e) , 2 Stück(e) , 5702017035246 , 2 Stück(e) , 24 Stück(e) , , Kleinteile , , ,"
                        "
LEGO City - Passagierflugzeug (60367),119,https://www.fcw.ch/api/ProcessRequest/191570/BN/268x166-lego-city-passagierflugzeug-60367.jpg?sourceId=886604&source=Product, Bausatz , Junge/Mädchen , 7 Jahr(e) , 99 Jahr(e) , 913 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 480 mm , 94 mm ," 1,81 kg ", Box , 1 Stück(e) , 3 Stück(e) , , 1 , B0BV793KD1 , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Star Wars - Ahsoka Tanos T-6 Jedi Shuttle (75362),89.95,https://www.fcw.ch/api/ProcessRequest/191578/BN/268x166-lego-star-wars-ahsoka-tanos-t-6-jedi-shuttle-75362.jpg?sourceId=886661&source=Product, Bausatz , Junge/Mädchen , 9 Jahr(e) , 99 Jahr(e) , 601 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm ," 70,5 mm ", 877 g , Box , 1 Stück(e) ,, , 1 , B0BV7HND4Q , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Icons - Klassischer Land Rover Defender 90 (10317),269,https://www.fcw.ch/api/ProcessRequest/189993/BN/268x166-lego-icons-klassischer-land-rover-defender-90-10317.jpg?sourceId=887623&source=Product, Bausatz ,, 18 Jahr(e) , 99 Jahr(e) , 2336 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 582 mm , 118 mm ," 2,86 kg ", Box ,,, ,,,,,,,,,,,,,,,,,,,,,,
LEGO City - Meeresforscher-Boot (60377),36.95,https://www.fcw.ch/api/ProcessRequest/188750/BN/268x166-lego-city-meeresforscher-boot-60377.jpg?sourceId=886607&source=Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGO Marvel - LEGO® Minifiguren Marvel-Serie 2 (71039),4.95,https://www.fcw.ch/api/ProcessRequest/191554/BN/268x166-lego-marvel-lego-minifiguren-marvel-serie-2-71039.jpg?sourceId=886687&source=Product, Bausatz , Junge/Mädchen , 5 Jahr(e) , 99 Jahr(e) , 10 Stück(e) , , Mehrfarbig , Kunststoff ,," Nicht für Kinder unter 36 Monaten geeignet, Keine Warnung zutreffend "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet für Kinder unter 36 Monate. Enthält verschluckbare Kleinteile. Erstickungsgefahr. , , 106 mm , 94 mm , 24 mm , 150 g , Box , 1 Stück(e) , 36 Stück(e) , , 1 ,, 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Technic - Ferrari 488 GTE “AF Corse #51” (42125),209,https://www.fcw.ch/api/ProcessRequest/135015/BN/268x166-lego-technic-ferrari-488-gte-af-corse-51-42125.jpg?sourceId=861132&source=Product, Bausatz , Junge/Mädchen , 18 Jahr(e) , 99 Jahr(e) , 1684 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 480 mm , 112 mm ," 2,33 kg ", Box ,,, ,, B08G4PB494 ,,,, Forest Stewardship Council (FSC) Mix , 1 Stück(e) , 389 mm , 122 mm , 520 mm ," 2,81 kg "," 2,33 kg ", 18 Stück(e) , 1 Stück(e) , 5702017005423 , 2 Stück(e) , 18 Stück(e) , , Kleinteile , , ,"
                        "
LEGO Ninjago - Jays Donnerdrache EVO (71760),24.95,https://www.fcw.ch/api/ProcessRequest/136363/BN/268x166-lego-ninjago-jays-donnerdrache-evo-71760.jpg?sourceId=870356&source=Product, Bausatz , Junge/Mädchen , 6 Jahr(e) , 99 Jahr(e) , 140 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 191 mm , 205 mm , 46 mm , 222 g , Box ,,, ,, B09BNWJRJ3 ,,,,,,,,,,,,,,,,,,, ,
LEGO Technic - Bugatti-Bolide (42151),59.95,https://www.fcw.ch/api/ProcessRequest/169309/BN/268x166-lego-technic-bugatti-bolide-42151.jpg?sourceId=880380&source=Product, Bausatz , Junge/Mädchen , 9 Jahr(e) , 99 Jahr(e) , 905 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm ," 70,5 mm ", 882 g , Box ,,, ,, B0BBRZ6JB2 ,,,,,,,,,,,,,,,,,,, ,
LEGO Ninjago - Lloyds Rennwagen EVO (71763),36.95,https://www.fcw.ch/api/ProcessRequest/135557/BN/268x166-lego-ninjago-lloyds-rennwagen-evo-71763.jpg?sourceId=870359&source=Product, Bausatz , Junge/Mädchen , 6 Jahr(e) , 99 Jahr(e) , 279 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 191 mm , 354 mm , 59 mm , 475 g , Box ,,, ,, B09BNTJMND ,,,,,,,,,,,,,,,,,,, ,
LEGO Der Herr der Ringe - Bruchtal (10316),589,https://www.fcw.ch/api/ProcessRequest/185885/BN/268x166-lego-der-herr-der-ringe-bruchtal-10316.jpg?sourceId=887622&source=Product, Bausatz , Junge/Mädchen , 18 Jahr(e) , 99 Jahr(e) , 6167 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 480 mm , 523 mm , 218 mm ," 6,89 kg ", Box , 1 Stück(e) , 1 Stück(e) , , 1 , B0BVMZ5NT5 , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Harry Potter - Dobby der Hauself (76421),39.95,https://www.fcw.ch/api/ProcessRequest/188459/BN/268x166-lego-harry-potter-dobby-der-hauself-76421.jpg?sourceId=886653&source=Product, Bausatz , Junge/Mädchen , 8 Jahr(e) , 99 Jahr(e) , 403 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 191 mm , 72 mm , 436 g , Box , 1 Stück(e) , 3 Stück(e) , , 1 , B0BPCBLRHB , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Star Wars - Ahsokas Clone Trooper™ der 332. Kompanie – Battle Pack (75359),26.95,https://www.fcw.ch/api/ProcessRequest/190739/BN/268x166-lego-star-wars-ahsokas-clone-trooper-der-332-kompanie-battle-pack-75359.jpg?sourceId=886659&source=Product, Bausatz , Junge/Mädchen , 6 Jahr(e) , 99 Jahr(e) , 108 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 141 mm , 191 mm , 46 mm , 131 g , Box , 1 Stück(e) , 4 Stück(e) , , 1 , B0BV7CGFPC , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO City - Güterzug (60198),199,https://www.fcw.ch/api/ProcessRequest/186513/BN/268x166-lego-city-gueterzug-60198.jpg?sourceId=834494&source=Product, Bausatz , Junge/Mädchen , 6 Jahr(e) , 12 Jahr(e) , 1226 Stück(e) , , Mehrfarbig ,,, Nicht für Kinder unter 36 Monaten geeignet ,,, , 480 mm , 582 mm , 124 mm , 301 g , Box ,,,,,,, 01/08/2018 , , Forest Stewardship Council (FSC) Mix , 2 Stück(e) , 598 mm , 265 mm , 499 mm ," 6,71 kg "," 6,02 kg ", 6 Stück(e) , 2 Stück(e) , 5702016242492 , 2 Stück(e) , 12 Stück(e) ,,,, ,"
                        "
LEGO Speed Champions - Porsche 963 (76916),32.95,https://www.fcw.ch/api/ProcessRequest/177551/BN/268x166-lego-speed-champions-porsche-963-76916.jpg?sourceId=880423&source=Product, Bausatz , Junge/Mädchen , 9 Jahr(e) , 99 Jahr(e) , 280 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 141 mm , 262 mm , 72 mm , 319 g , Box , 1 Stück(e) ,, ,, B0BBS95585 , 60 min ,,,,,,,,,,,,,,,,,, ,
LEGO Harry Potter - Schloss Hogwarts (71043),529,https://www.fcw.ch/api/ProcessRequest/56261/BN/268x166-lego-harry-potter-schloss-hogwarts-71043.jpg?sourceId=846418&source=Product, Bausatz , Junge/Mädchen , 16 Jahr(e) , 99 Jahr(e) , 6020 Stück(e) ,, Mehrfarbig ,,, Nicht für Kinder unter 36 Monaten geeignet , Englisch ,,, 490 mm , 595 mm , 190 mm ," 7,51 kg ", Box , 1 Stück(e) ,, ,, B07BLDTWVW , 120 min ,, ,,, 600 mm , 200 mm , 514 mm ," 8,77 kg ",, 8 Stück(e) , 1 Stück(e) , 5702016333220 , 2 Stück(e) , 8 Stück(e) ,, Kleinteile ,,,"
                        "
LEGO Star Wars - New Republic E-Wing™ vs. Shin Hatis Starfighter™ (75364),119,https://www.fcw.ch/api/ProcessRequest/191515/BN/268x166-lego-star-wars-new-republic-e-wing-vs-shin-hatis-starfighter-75364.jpg?sourceId=886663&source=Product, Bausatz , Junge/Mädchen , 9 Jahr(e) , 99 Jahr(e) , 1056 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 282 mm , 540 mm , 59 mm ," 1,4 kg ", Box , 1 Stück(e) ,, , 1 , B0BV7HBF6R , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Duplo - Steinebox (10913),36.95,https://www.fcw.ch/api/ProcessRequest/62056/BN/268x166-lego-duplo-steinebox-10913.jpg?sourceId=851002&source=Product, Bausatz , Junge/Mädchen ," 1,5 Jahr(e) ", 99 Jahr(e) , 65 Stück(e) , , Mehrfarbig ,,,,,,, 180 mm , 370 mm , 180 mm ," 1,05 kg ", Box ,,,,,,, 01/01/2020 , , Forest Stewardship Council (FSC) Mix , 2 Stück(e) , 388 mm , 196 mm , 373 mm ," 2,5 kg "," 2,1 kg ", 12 Stück(e) , 2 Stück(e) , 5702016704129 , 3 Stück(e) , 24 Stück(e) ,,,,,
LEGO Technic - Yamaha MT-10 SP (42159),239,https://www.fcw.ch/api/ProcessRequest/190657/BN/268x166-lego-technic-yamaha-mt-10-sp-42159.jpg?sourceId=886680&source=Product, Bausatz , Junge/Mädchen , 18 Jahr(e) , 99 Jahr(e) , 1478 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 582 mm , 87 mm ," 2,13 kg ", Box , 1 Stück(e) , 1 Stück(e) , , 1 , B0BV7F6767 , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Ninjago - Soras Mech-Bike (71792),54.95,https://www.fcw.ch/api/ProcessRequest/188754/BN/268x166-lego-ninjago-soras-mech-bike-71792.jpg?sourceId=886634&source=Product, Bausatz , Junge/Mädchen , 8 Jahr(e) , 99 Jahr(e) , 384 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 282 mm , 59 mm , 526 g , Box , 1 Stück(e) , 4 Stück(e) , , 1 , B0BPCBP5ZV , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Creator 3-in-1 - Weltraum Achterbahn (31142),119,https://www.fcw.ch/api/ProcessRequest/190844/BN/268x166-lego-creator-3-in-1-weltraum-achterbahn-31142.jpg?sourceId=886574&source=Product, Bausatz , Junge/Mädchen , 9 Jahr(e) , 99 Jahr(e) , 874 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 282 mm , 540 mm ," 78,5 mm "," 1,86 kg ", Box , 1 Stück(e) , 3 Stück(e) , , 1 , B0BV7F29QL , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO LEGO Marvel Venomized Groot (76249),59.95,https://www.fcw.ch/api/ProcessRequest/190506/BN/268x166-lego-lego-marvel-venomized-groot-76249.jpg?sourceId=887840&source=Product, Bausatz ,, 10 Jahr(e) , 99 Jahr(e) , 630 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,, 354 mm , 191 mm , 70 mm , 565 g , Box ,,, ,,,,,,,,,,,,,,,,,,,,,,
LEGO Star Wars - Das Kind (75318),109,https://www.fcw.ch/api/ProcessRequest/125077/BN/268x166-lego-star-wars-das-kind-75318.jpg?sourceId=859250&source=Product, Bausatz , Junge/Mädchen , 10 Jahr(e) , 99 Jahr(e) , 1073 Stück(e) ,, Mehrfarbig ,,, Nicht für Kinder unter 36 Monaten geeignet ,,,, 382 mm , 262 mm , 118 mm ," 1,27 kg ", Box ,,,,,,,, , Forest Stewardship Council (FSC) Mix , 2 Stück(e) , 398 mm ,, 280 mm ," 2,9 kg "," 2,53 kg ", 9 Stück(e) , 2 Stück(e) , 5702016981414 , 4 Stück(e) , 18 Stück(e) ,,,,,
LEGO Star Wars - Luke Skywalkers X-Wing Fighter (75301),59.95,https://www.fcw.ch/api/ProcessRequest/97069/BN/268x166-lego-star-wars-luke-skywalkers-x-wing-fighter-75301.jpg?sourceId=861194&source=Product, Bausatz , Junge/Mädchen , 9 Jahr(e) , 99 Jahr(e) , 474 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm ," 70,5 mm ", 710 g , Box ,,, ,, B08G4GP34B ,,,, Forest Stewardship Council (FSC) Mix , 3 Stück(e) , 398 mm , 229 mm , 280 mm ," 2,46 kg "," 2,13 kg ", 10 Stück(e) , 3 Stück(e) , 5702016985689 , 4 Stück(e) , 30 Stück(e) , , Kleinteile , , ,
LEGO Technic - Ducati Panigale V4 R (42107),84.95,https://www.fcw.ch/api/ProcessRequest/59000/BN/268x166-lego-technic-ducati-panigale-v4-r-42107.jpg?sourceId=855774&source=Product, Bausatz , Junge/Mädchen , 10 Jahr(e) , 99 Jahr(e) , 646 Stück(e) , , Mehrfarbig ,,, Nicht für Kinder unter 36 Monaten geeignet ,,,, 262 mm , 382 mm ," 70,5 mm ", 880 g , Box ,,,,,,, 01/06/2020 , , Forest Stewardship Council (FSC) Mix , 3 Stück(e) , 398 mm , 229 mm , 280 mm ," 2,97 kg "," 2,64 kg ", 10 Stück(e) , 3 Stück(e) , 5702016781496 , 4 Stück(e) , 30 Stück(e) ,, Kleinteile ,,,
LEGO Icons - Chevrolet Camaro Z28 (10304),179,https://www.fcw.ch/api/ProcessRequest/179429/BN/268x166-lego-icons-chevrolet-camaro-z28-10304.jpg?sourceId=880446&source=Product, Bausatz , Junge/Mädchen , 18 Jahr(e) , 99 Jahr(e) , 1456 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ", Englisch , Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 282 mm , 480 mm , 118 mm ," 1,83 kg ", Box , 1 Stück(e) ,, ,, B0B84V2W8D , 120 min ,,,,,,,,,,,,,,, ,, ,,
