name,price,link_picture,Produkttyp,Vorgeschlagenes Geschlecht,Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (max.),Anzahl Teile,Sound-Effekte,Produktfarbe,Material,Ursprungsland,EU TSD Warnung,EU TSD Sprache,Sicherheitswarnung,Batterien erforderlich,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Paketgewicht,Verpackungsart,Menge pro Packung,Anzahl der Versandkartons pro Vorlagenkarton,Montage erforderlich,Anzahl der Pakete,ASIN,Montagezeit,Freigabedatum (TT/MM/JJ),Figur enthalten,Nachhaltigkeitszertifikate,Menge pro Versandkarton,Länge des Versandkartons,Breite des Versandkartons,Höhe des Versandkartons,Gewicht Versandkarton,Nettogewicht Hauptkarton,Versandkarton pro Palettenlage,Anzahl Produkte pro Versandkarton,Hauptkarton GTIN (EAN/UPC),Lagenanzahl pro Palette,Produkte pro Palettenlage,Fernbedienung erforderlich,Warnung vor Erstickungsgefahr,Fernbedienung enthalten,Akkus/Batterien enthalten,null
LEGO Friends - Magische Jahrmarktachterbahn (41685),89.95,https://www.fcw.ch/api/ProcessRequest/124946/BN/268x166-lego-friends-magische-jahrmarktachterbahn-41685.jpg?sourceId=864289&source=Product, Bausatz , Junge/Mädchen , 8 Jahr(e) , 99 Jahr(e) , 971 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 480 mm , 94 mm ," 1,65 kg ", Box ,,, ,, B08WX4KLK3 ,, 01/06/2021 , , Forest Stewardship Council (FSC) Mix , 3 Stück(e) , 394 mm , 299 mm , 499 mm ," 5,38 kg "," 4,8 kg ", 8 Stück(e) , 3 Stück(e) , 5702017061399 , 2 Stück(e) , 24 Stück(e) , , Kleinteile , , ,"
                        "
LEGO Friends - Seerettungsboot (41734),99,https://www.fcw.ch/api/ProcessRequest/188488/BN/268x166-lego-friends-seerettungsboot-41734.jpg?sourceId=886576&source=Product, Bausatz , Junge/Mädchen , 7 Jahr(e) , 99 Jahr(e) , 717 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 282 mm , 540 mm ," 78,5 mm "," 1,39 kg ", Box , 1 Stück(e) , 3 Stück(e) , , 1 , B0BPC9PT5Q , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO DREAMZzz - Stall der Traumwesen (71459),99,https://www.fcw.ch/api/ProcessRequest/190663/BN/268x166-lego-dreamzzz-stall-der-traumwesen-71459.jpg?sourceId=886645&source=Product, Bausatz , Junge/Mädchen , 8 Jahr(e) , 99 Jahr(e) , 681 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 282 mm , 480 mm , 61 mm , 945 g , Box , 1 Stück(e) , 3 Stück(e) , , 1 , B0BV7C4HQB , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO City - Cyber-Stuntbike (60358),9.95,https://www.fcw.ch/api/ProcessRequest/169892/BN/268x166-lego-city-cyber-stuntbike-60358.jpg?sourceId=880291&source=Product, Bausatz , Junge/Mädchen , 5 Jahr(e) , 99 Jahr(e) , 13 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 122 mm , 91 mm , 47 mm , 45 g , Box ,,, ,, B0BBRTCCWG ,,,,,,,,,,,,,,,,,,, ,
LEGO Marvel - Angriff auf New Asgard (76207),26.95,https://www.fcw.ch/api/ProcessRequest/135458/BN/268x166-lego-marvel-angriff-auf-new-asgard-76207.jpg?sourceId=870449&source=Product, Bausatz , Junge/Mädchen , 7 Jahr(e) , 99 Jahr(e) , 159 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 141 mm , 262 mm , 48 mm , 174 g , Box ,,, ,, B09BNT4DG7 ,,,,,,,,,,,,,,,,,,,,
LEGO Creator - Freies Bauen: Tiere - Du entscheidest! (30503),5.95,https://www.fcw.ch/api/ProcessRequest/149562/BN/268x166-lego-creator-freies-bauen-tiere-du-entscheidest-30503.jpg?sourceId=874452&source=Product, Bausatz , Junge/Mädchen , 5 Jahr(e) ,, 16 Stück(e) , ," Rot, Gelb ",,, Nicht für Kinder unter 36 Monaten geeignet ,,,,,,,, Polybag ,,,,,,,,,,,,,,,,,,,,,,,,,
LEGO Friends - Novas Zimmer (41755),24.95,https://www.fcw.ch/api/ProcessRequest/169906/BN/268x166-lego-friends-novas-zimmer-41755.jpg?sourceId=880323&source=Product, Bausatz , Junge/Mädchen , 6 Jahr(e) , 99 Jahr(e) , 179 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 191 mm , 205 mm , 61 mm , 293 g , Box ,,, ,, B0BBRW48NM ,,,,,,,,,,,,,,,,,,, ,
LEGO Super Mario - Yoshis Geschenkhaus – Erweiterungsset (71406),46.95,https://www.fcw.ch/api/ProcessRequest/149894/BN/268x166-lego-super-mario-yoshis-geschenkhaus-erweiterungsset-71406.jpg?sourceId=874255&source=Product, Bausatz , Junge/Mädchen , 6 Jahr(e) , 99 Jahr(e) , 246 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 191 mm , 262 mm , 61 mm , 313 g , Box ,,, ,, B09QFHGBYD ,,,,,,,,,,,,,,,,,,,,
LEGO Duplo - Biomarkt (10983),36.95,https://www.fcw.ch/api/ProcessRequest/177530/BN/268x166-lego-duplo-biomarkt-10983.jpg?sourceId=880413&source=Product, Bausatz , Junge/Mädchen ," 1,5 Jahr(e) ", 99 Jahr(e) , 40 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm , 94 mm , 798 g , Box , 1 Stück(e) ,, ,, B0BBRYNNF7 , 60 min ,,,,,,,,,,,,,,,,,, ,
LEGO Marvel - Captain America Baufigur (76258),46.95,https://www.fcw.ch/api/ProcessRequest/188538/BN/268x166-lego-marvel-captain-america-baufigur-76258.jpg?sourceId=886621&source=Product, Bausatz , Junge/Mädchen , 8 Jahr(e) , 99 Jahr(e) , 310 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 191 mm , 61 mm , 345 g , Box , 1 Stück(e) , 6 Stück(e) , , 1 , B0BPC9W5TY , 60 min ,,,,,,,,,,,,,,,,,,,
